c,cleaned_mno,test_status,QOS_SignalStrength,Connection_Category_clean
48,raw_Tesco Mobile_Tesco,-1,-106.0,5G NSA
1712,raw_Tesco Mobile_Tesco,-1,-112.0,4
4,raw_Tesco Mobile_Tesco,0,-62.0,
6,raw_Tesco Mobile_Tesco,6,-54.0,3
69,raw_Tesco Mobile_Tesco,3,-82.0,3
2,raw_Tesco Mobile_Tesco,3,-70.0,4
1,raw_Tesco Mobile_Tesco,5,-78.0,3
425,raw_Tesco Mobile_Tesco,6,-92.0,4
9279,raw_Tesco Mobile_Tesco,0,-94.0,4
25,raw_Tesco Mobile_Tesco,6,-118.0,5G NSA
